category,word,date,views,text,hashtags,link
female,queening,2024-10-3,0.136,#fyp #fyppppppppppppppppppppppp #relationship #mine  created by Queening with Code G & Persona’s Stayed Down,"['relationship', 'mine']",https://www.tiktok.com/@caramel_queen26/video/7421661441780059438
female,queening,2024-10-10,0.34650000000000003,Was my fragrance trade with @TheCologneBoy fake? #fragrance #fragrancetiktok #mindgamesqueening #unisexfragrance #vanillafragrance  created by Cal Cologne with Prod. By Rose’s Winter Rain,"['fragrance', 'fragrancetiktok', 'mindgamesqueening', 'unisexfragrance', 'vanillafragrance']",https://www.tiktok.com/@calcologne/video/7424245470463003946
female,queening,2024-10-6,0.004200000000000001,Queening out 🤪 @Chase Icon  created by XCXTRA 🤡 with Chase Icon’s 808,[],https://www.tiktok.com/@timmyyluna/video/7422848783039466794
female,queening,2022-2-12,0.0123,#Queening created by MeVSMe with lewissky’s original sound,['queening'],https://www.tiktok.com/@bucknerblood/video/7063685316334406958
female,queening,2023-9-16,0.0033,Queening created by nozukobelindahmuf with J. Renee’s I Am a Queen,[],https://www.tiktok.com/@nozukobelindahmuf/video/7279275779198864641
female,queening,2024-7-24,0.223,hyping up the girls tonight #queenkey #queeningout  created by mikayayayayaya with mikayayayayaya’s original sound,"['queenkey', 'queeningout']",https://www.tiktok.com/@tsukisbutthole/video/7395415849110113578
female,queening,2023-4-24,0.0085,#Queening   created by Meka Bee Goddess with Gucci Mane’s Photoshoot,['queening'],https://www.tiktok.com/@divineenergygoddess/video/7225767003569573162
female,queening,2023-10-30,0.0066,#capcut #Queening👑 #casinolife 🎰💲💷#styleandgrace #Ambassador #Queenbey🐝  created by Ambassador 🫧♟️Tierra Nichole with B_blessed.11’s original sound,"['capcut', 'queening👑', 'casinolife', '💲💷#styleandgrace', 'ambassador', 'queenbey🐝']",https://www.tiktok.com/@tierratellis/video/7295601375466065198
female,queening,2024-10-14,0.0049,#fypシ゚viral #queenin #followers➕ #Queen#blowthisuptiktok #entertainment #unforgettable👑kings⚔️queens #savag3💀lif3  #littylegit👑 #magic🐺wolves #🔥flameofarose🌹 #caligirl072 #firstlady👑 #noblelordess💀#Tasteofhoney👑  created by caligirl072 with Daniel Wealth ( Love Clinic )’s original sound,"['queenin', 'followers➕', 'queen#blowthisuptiktok', 'entertainment', 'unforgettable👑kings⚔️queens', 'savag3💀lif3', 'littylegit👑', 'magic🐺wolves', '🔥flameofarose🌹', 'caligirl072', 'firstlady👑', 'noblelordess💀#tasteofhoney👑']",https://www.tiktok.com/@caligirl072/video/7425640049104014623
female,queening,2019-4-23,7.000000000000001e-05,#queening created by HairstonBeauty with DaBaby’s Suge,['queening'],https://www.tiktok.com/@hairstonbeauty/video/6682940301704695045
female,roman empire,2023-9-15,4.4,OMG I’m mind blown rn 🤣🤣🤣🤣🤣 #romanempire #romanempireprank #lol  created by Allie Ninfo with Allie Ninfo’s original sound,"['romanempire', 'romanempireprank', 'lol']",https://www.tiktok.com/@allie_ninfo/video/7279133752998071594
female,roman empire,2023-9-17,1.6,Roman empire trend explained. #romanempire #romanempiretrend #masculinity #greenscreen  created by Frank with Frank’s original sound,"['romanempire', 'romanempiretrend', 'masculinity', 'greenscreen']",https://www.tiktok.com/@frank.cooper/video/7279954981694868778
female,roman empire,2023-9-20,0.0743,"You really wouldn’t want to live in the Roman Empire. It’s without a doubt one of the most important periods in history, but the truth is day to day life was awful for most Romans.  So let’s explore 5 reasons why life sucked in the Roman Empire. #history #romanempire #historytok #historyfacts #ancientrome  #ancienthistory #historybuff  created by The History Source with The History Source’s original sound","['history', 'romanempire', 'historytok', 'historyfacts', 'ancientrome', 'ancienthistory', 'historybuff']",https://www.tiktok.com/@thehistorysource/video/7281076777760460075
female,roman empire,2023-12-22,1.6,crying #fyp  created by mads with NostalgiaLove’s Notebook x Lana,[],https://www.tiktok.com/@madisdawgs/video/7315288805161078062
female,roman empire,2023-9-14,3.6,Never once do I think of such things. How is this real?! #romanempire  created by Hannah Brown with Hannah Brown’s original sound,['romanempire'],https://www.tiktok.com/@hannahkbrown/video/7278841701047799070
female,roman empire,2024-1-14,7.3,it’s the SIDE PROFILE!!! please tell me you see it too! #invisiblestringtheory #invisiblestring #doppelgänger #reincarnated #lookalike #romanempire #fypシ #xyzbca  created by Zoe_Iron with Laurie Anderson’s O Superman,"['invisiblestringtheory', 'invisiblestring', 'doppelgänger', 'reincarnated', 'lookalike', 'romanempire', 'xyzbca']",https://www.tiktok.com/@zoe_iron/video/7323895049777909010
female,roman empire,2024-8-18,1.4,this scene is my roman empire 😮‍💨🙏  { ib: @Venorxw cc/scp: mine } #hughjackman #hughjackmanedit #australia  created by daddy with daddy’s som original,"['hughjackman', 'hughjackmanedit', 'australia']",https://www.tiktok.com/@onxlydilf/video/7404546379487399174
female,roman empire,2024-2-10,7.9,Are we still talking about the Roman Empire?  Tune in on Monday at 8/7c on ABC to understand the outfit choice #TheBachelor #RomanEmpire #StreamHulu created by Joey Graziadei with Joey Graziadei’s original sound,"['thebachelor', 'romanempire', 'streamhulu']",https://www.tiktok.com/@joeygraziadei/video/7334009667489664286
female,roman empire,2022-9-27,0.7152000000000001,"For the purpose of this video I’ll be focusing on the fall of the Western Roman Empire, using the traditional date of 476 AD #ancientrome #roman #rome #romanhistory #romanempire #ancienthistory #history #learn #facts #education  created by Roman Helmet Guy with Tansa’s Powerful songs like action movie music","['ancientrome', 'roman', 'rome', 'romanhistory', 'romanempire', 'ancienthistory', 'history', 'learn', 'facts', 'education']",https://www.tiktok.com/@romanhelmetguy/video/7148251178277768494
female,roman empire,2024-5-16,1.2,We Are Rome  #rome #ancientrome #gladiator #warrior #romanempire #italy #soilder #emperor  created by Attacks with Attacks’s original sound,"['rome', 'ancientrome', 'gladiator', 'warrior', 'romanempire', 'italy', 'soilder', 'emperor']",https://www.tiktok.com/@attackcreations/video/7369695423683906859
female,roman empire,2022-5-23,2e-05,What if the Roman Empire never fell? #foryoupage #fy #fyp #foryou #whatif #whatifitdid #romanempire created by What If with Marius’s sunet original,"['fy', 'whatif', 'whatifitdid', 'romanempire']",https://www.tiktok.com/@what.if.it.did/video/7101037369528225029
female,roman empire,2023-6-24,2.1,What If The Roman Empire Reunited Today ?? 🔥🇮🇹 #history #geography #rome #romanempire #italy #maps #mapping #mapper #facts #whatif #ancientrome #fyp #fypシ #viral  created by realityexplained with realityexplained’s original sound,"['history', 'geography', 'rome', 'romanempire', 'italy', 'maps', 'mapping', 'mapper', 'facts', 'whatif', 'ancientrome']",https://www.tiktok.com/@realityexplained0/video/7248176459401923866
female,roman empire,2023-9-15,4.4,OMG I’m mind blown rn 🤣🤣🤣🤣🤣 #romanempire #romanempireprank #lol  created by Allie Ninfo with Allie Ninfo’s original sound,"['romanempire', 'romanempireprank', 'lol']",https://www.tiktok.com/@allie_ninfo/video/7279133752998071594
female,roman empire,2023-9-17,1.6,Roman empire trend explained. #romanempire #romanempiretrend #masculinity #greenscreen  created by Frank with Frank’s original sound,"['romanempire', 'romanempiretrend', 'masculinity', 'greenscreen']",https://www.tiktok.com/@frank.cooper/video/7279954981694868778
female,roman empire,2023-9-20,0.0743,"You really wouldn’t want to live in the Roman Empire. It’s without a doubt one of the most important periods in history, but the truth is day to day life was awful for most Romans.  So let’s explore 5 reasons why life sucked in the Roman Empire. #history #romanempire #historytok #historyfacts #ancientrome  #ancienthistory #historybuff  created by The History Source with The History Source’s original sound","['history', 'romanempire', 'historytok', 'historyfacts', 'ancientrome', 'ancienthistory', 'historybuff']",https://www.tiktok.com/@thehistorysource/video/7281076777760460075
female,roman empire,2023-12-22,1.6,crying #fyp  created by mads with NostalgiaLove’s Notebook x Lana,[],https://www.tiktok.com/@madisdawgs/video/7315288805161078062
female,roman empire,2023-9-14,3.6,Never once do I think of such things. How is this real?! #romanempire  created by Hannah Brown with Hannah Brown’s original sound,['romanempire'],https://www.tiktok.com/@hannahkbrown/video/7278841701047799070
female,roman empire,2024-1-14,7.3,it’s the SIDE PROFILE!!! please tell me you see it too! #invisiblestringtheory #invisiblestring #doppelgänger #reincarnated #lookalike #romanempire #fypシ #xyzbca  created by Zoe_Iron with Laurie Anderson’s O Superman,"['invisiblestringtheory', 'invisiblestring', 'doppelgänger', 'reincarnated', 'lookalike', 'romanempire', 'xyzbca']",https://www.tiktok.com/@zoe_iron/video/7323895049777909010
female,roman empire,2024-8-18,1.4,this scene is my roman empire 😮‍💨🙏  { ib: @Venorxw cc/scp: mine } #hughjackman #hughjackmanedit #australia  created by daddy with daddy’s som original,"['hughjackman', 'hughjackmanedit', 'australia']",https://www.tiktok.com/@onxlydilf/video/7404546379487399174
female,roman empire,2024-2-10,7.9,Are we still talking about the Roman Empire?  Tune in on Monday at 8/7c on ABC to understand the outfit choice #TheBachelor #RomanEmpire #StreamHulu created by Joey Graziadei with Joey Graziadei’s original sound,"['thebachelor', 'romanempire', 'streamhulu']",https://www.tiktok.com/@joeygraziadei/video/7334009667489664286
female,roman empire,2022-9-27,0.7152000000000001,"For the purpose of this video I’ll be focusing on the fall of the Western Roman Empire, using the traditional date of 476 AD #ancientrome #roman #rome #romanhistory #romanempire #ancienthistory #history #learn #facts #education  created by Roman Helmet Guy with Tansa’s Powerful songs like action movie music","['ancientrome', 'roman', 'rome', 'romanhistory', 'romanempire', 'ancienthistory', 'history', 'learn', 'facts', 'education']",https://www.tiktok.com/@romanhelmetguy/video/7148251178277768494
female,roman empire,2024-5-16,1.2,We Are Rome  #rome #ancientrome #gladiator #warrior #romanempire #italy #soilder #emperor  created by Attacks with Attacks’s original sound,"['rome', 'ancientrome', 'gladiator', 'warrior', 'romanempire', 'italy', 'soilder', 'emperor']",https://www.tiktok.com/@attackcreations/video/7369695423683906859
female,roman empire,2022-5-23,2e-05,What if the Roman Empire never fell? #foryoupage #fy #fyp #foryou #whatif #whatifitdid #romanempire created by What If with Marius’s sunet original,"['fy', 'whatif', 'whatifitdid', 'romanempire']",https://www.tiktok.com/@what.if.it.did/video/7101037369528225029
female,roman empire,2023-6-24,2.1,What If The Roman Empire Reunited Today ?? 🔥🇮🇹 #history #geography #rome #romanempire #italy #maps #mapping #mapper #facts #whatif #ancientrome #fyp #fypシ #viral  created by realityexplained with realityexplained’s original sound,"['history', 'geography', 'rome', 'romanempire', 'italy', 'maps', 'mapping', 'mapper', 'facts', 'whatif', 'ancientrome']",https://www.tiktok.com/@realityexplained0/video/7248176459401923866
female,roman empire,2023-9-15,4.4,OMG I’m mind blown rn 🤣🤣🤣🤣🤣 #romanempire #romanempireprank #lol  created by Allie Ninfo with Allie Ninfo’s original sound,"['romanempire', 'romanempireprank', 'lol']",https://www.tiktok.com/@allie_ninfo/video/7279133752998071594
female,roman empire,2023-9-17,1.6,Roman empire trend explained. #romanempire #romanempiretrend #masculinity #greenscreen  created by Frank with Frank’s original sound,"['romanempire', 'romanempiretrend', 'masculinity', 'greenscreen']",https://www.tiktok.com/@frank.cooper/video/7279954981694868778
female,roman empire,2023-9-20,0.0743,"You really wouldn’t want to live in the Roman Empire. It’s without a doubt one of the most important periods in history, but the truth is day to day life was awful for most Romans.  So let’s explore 5 reasons why life sucked in the Roman Empire. #history #romanempire #historytok #historyfacts #ancientrome  #ancienthistory #historybuff  created by The History Source with The History Source’s original sound","['history', 'romanempire', 'historytok', 'historyfacts', 'ancientrome', 'ancienthistory', 'historybuff']",https://www.tiktok.com/@thehistorysource/video/7281076777760460075
female,roman empire,2023-12-22,1.6,crying #fyp  created by mads with NostalgiaLove’s Notebook x Lana,[],https://www.tiktok.com/@madisdawgs/video/7315288805161078062
female,roman empire,2023-9-14,3.6,Never once do I think of such things. How is this real?! #romanempire  created by Hannah Brown with Hannah Brown’s original sound,['romanempire'],https://www.tiktok.com/@hannahkbrown/video/7278841701047799070
female,roman empire,2024-1-14,7.3,it’s the SIDE PROFILE!!! please tell me you see it too! #invisiblestringtheory #invisiblestring #doppelgänger #reincarnated #lookalike #romanempire #fypシ #xyzbca  created by Zoe_Iron with Laurie Anderson’s O Superman,"['invisiblestringtheory', 'invisiblestring', 'doppelgänger', 'reincarnated', 'lookalike', 'romanempire', 'xyzbca']",https://www.tiktok.com/@zoe_iron/video/7323895049777909010
female,roman empire,2024-8-18,1.4,this scene is my roman empire 😮‍💨🙏  { ib: @Venorxw cc/scp: mine } #hughjackman #hughjackmanedit #australia  created by daddy with daddy’s som original,"['hughjackman', 'hughjackmanedit', 'australia']",https://www.tiktok.com/@onxlydilf/video/7404546379487399174
